+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| naturalbd.com                     | 103.43.148.72   |   A   |
| naturalbd.org                     | unresolvable    | error |
| nedasabd.net                      | 103.125.252.31  |   A   |
| neefit.net                        | 198.54.115.182  |   A   |
| neobd.net                         | 103.91.231.138  |   A   |
| netcode.live                      | 103.85.160.7    |   A   |
| netcomisp.net                     | 192.185.158.113 |   A   |
| netpoint.com.bd                   | 103.147.182.74  |   A   |
| netvizmedia.net                   | 185.107.56.193  |   A   |
| new.naturalbd.com                 | 103.213.238.90  |   A   |
| nis.com.bd                        | 198.54.125.171  |   A   |
| nms-bd.com                        | 103.56.6.244    |   A   |
| nowhdtime.com.bd                  | 172.67.199.213  |   A   |
| ns1.ftpbd.net                     | unresolvable    | error |
| ns2.ftpbd.net                     | unresolvable    | error |
| okay.net.bd                       | 95.217.48.81    |   A   |
| onsbd.net                         | 74.63.240.130   |   A   |
| ontohinbd.com                     | unresolvable    | error |
| openloadmovie.org                 | 172.67.166.27   |   A   |
| osthir.net                        | 198.54.115.245  |   A   |
| otv.ftpbd.net                     | 103.58.73.8     |   A   |
| paglasports.com                   | 104.200.23.95   |   A   |
| pandaclubbd.com                   | 117.103.80.91   |   A   |
| patalpuri.com                     | 45.250.20.21    |   A   |
| peacetvnetwork.visionip.tv        | 95.87.97.61     | CNAME |
| pegleg.it                         | 76.76.21.21     |   A   |
| piay.iflix.com                    | 118.214.167.65  | CNAME |
| play.ebox.live                    | 103.49.168.173  |   A   |
| plexbd.net                        | 203.96.191.70   |   A   |
| plus.net.bd                       | 103.111.225.4   |   A   |
| plus.tv.rangdhanu.live            | unresolvable    | error |
| plusbox.tv                        | 103.111.225.54  |   A   |
| plusnetbd.com                     | 192.249.118.137 |   A   |
| plygig.com                        | 198.54.125.67   |   A   |
| pollyflix.com                     | 12.1.1.1        |   A   |
| pop.ftpbd.net                     | 208.91.199.6    | CNAME |
| portal.worldbd.net                | 103.134.88.26   |   A   |
| presslinkbd.net                   | 67.227.226.240  |   A   |
| projapoti.live                    | 43.251.84.25    |   A   |
| psarips.xyz                       | 172.67.133.218  |   A   |
| putlocker.is                      | 103.224.182.253 |   A   |
| quetelbd.net                      | 95.217.48.81    |   A   |
| quickonlineftp.com                | 59.152.107.140  |   A   |
| rahamanisp.com                    | 209.99.64.43    |   A   |
| rahulenterprise.net               | 208.91.199.87   |   A   |
